"angry
disagree
dislike","angry, disagree, dislike","angry, disagree, dislike",,
"angry
hot","angry, hot","angry, hot",,
"answer
retaliate
connect","answer, retaliate, connect","answer, retaliate, connect",,
ant,ant,ant,,
anus,anus,anus,,
person,any person,any person,,
apart,apart from,apart from,,
apart,"apart, in parts",apart,in parts,
"apart
broken","apart, of bones: broken","apart, broken",,
"apart
separate (A)","apart, separate, in two","apart, separate",in two,
appear,appear,appear,,
apportion,apportioned,apportioned,,
approach,approach,approach,,
approach,approaching,approaching,,
around,around,around,,
tie around,around (tie),tie around,,
,"around a center, revolving around or encircling a center","around a center, revolving around, encircling a center",,
,around aimlessly,around aimlessly,,
,"around aimlessly, here and there","around aimlessly, here and there",,
around,around here,around here,,
"around
about","around, about","around, about",,
,"around, as in rotating around a center","around, as in rotating around a center",,
"around
avoid
circumvent","around, by avoiding, altering a path; circumventing","around, by avoiding, circumventing",altering a path,
"around
turn
return","around, turning, returning","around, turn, return",,
"arouse
anger (V)","arouse, anger","arouse, anger",,
arrange,arrange,arrange,,
"arrange
shape (V)","arrange, shape","arrange, shape",,
,arrival point,arrival point,,
arrive,arrive,arrive,,
arrive,arrive at,arrive at,,
"arrive
come","arrive, come","arrive, come",,
"arrive
reach","arrive, reach a goal","arrive, reach a goal",,
arrive,arriving at home,arriving at home,,
"arrive
return","arriving back at home, returning home","arriving back at home, returning home",,
"arrive
return","arriving back, returning","arriving back, returning",,
arrow,arrow,arrow,,
"warm
heated (A)","artificially warm, heated","artificially warm, heated",,
,as long as,as long as,,
"each
every",as many as; each; every; so many; so much,each; every,as many as; so many; so much,
,as the time goes along,as time goes along,,
ash,ashes,ashes,,
"ash
charcoal","ashes, charcoal","ashes, charcoal",,
"ash
powder","ashes, powder","ashes, powder",,
ashore,ashore,ashore,,
"ashore
take out","ashore, shore to [sic], take out","ashore, take out",shore to [sic],
"ashore
emerge",ashore; emerge,ashore; emerge,,
aside,aside,aside,,
"aside
apart
differently","aside, apart, differently","aside, apart, differently",,
"aside
deviate
crooked
curved","aside, deviating, crooked, curved","aside, deviating, crooked, curved",,
,"assign a task, work","assign a task, work",,
thirsty,assoiffé,thirsty,,
astray,"astray, off course",astray,off course,
,at crossroad,at crossroad,,
dawn,à l'aube,at dawn,,
dusk,à la tombée du jour,at dusk,,
,en vitesse,at speed,,
edge,at the edge,at the edge,,
,"at the same time, as s.t. else was/is going on",at the same time as s.t. else was or is going on,,
attach,attach,attach,,
attach,attached,attached,,
"attack
appear","attack, appear","attack, appear",,
attract,attract,attract,,
morning,au matin,in the morning,,
spring,au printemps,in spring,,
audible,audible,audible,,
authority,authority,authority,,
autumn,autumn,autumn,,
"avoid
forbid","avoid, forbid","avoid, forbid",,
awake,awake,awake,,
"awake
arouse","awake, arouse","awake, arouse",COMPARE THESE TWO - ???,
"awake
rouse","awake, rouse","awake, rouse",,
away,away,away,,
away,away from,away from,,
,"away from an area, as in escaping","away from an area, as in escaping",,
away,away from here,away from here,,
,"away from s.o. or s.t., by loosening, dropping, releasing","away from s.o. or s.t., by loosening, dropping, releasing",,
,away from speaker,away from speaker,,
"away
avoid","away from, avoiding","away from, avoiding",,
"away
backward","away, backward","away, backward",,
,"away, beginning","away, beginning",,
"away
escape","away, escaping","away, escaping",,
"away
escape
flee","away, escaping, fleeing","away, escaping, fleeing",,
"away
lead
carry off","away, lead, carry off","away, lead, carry off",,
"away
off
gone","away, off, gone","away, off, gone",,
"away
recede
remove","away, recede, remove","away, recede, remove",,
"away
removal
disposal
removed","away, removal, disposal; removed (permanently)","away, removal, disposal; removed (permanently)",,
"away
start","away, start","away, start",,
"awful
terrible","awful, terrible","awful, terrible",,
"awkward
poorly","awkward, poorly","awkward, poorly",,
axe,axe,axe,,
back,back,back,,
,back (directional),back (directional),,
,back and forth,back and forth,,
,"back and forth, in exchange","back and forth, in exchange",,
,"back around, reversing course","back around, reversing course",,
back (N),back of body,back of body,,
,"back there in former times, far back away there; far back in time, in the past","back there in former times, far back away there; far back in time, in the past",,
"back
fold","back, fold","back, fold",,
"back
return","back, returning; inchoative","back, return",inchoative,
"backward
away","backward, away","backward, away",,
"backward
away","backward, away in time or space, in the past","backward, away",in the past,
backward,backwards,backwards,,
bad,bad,bad,,
bad,bad (defective),bad (defective),,
bad,bad (of character),bad (of character),,
"bad
angry
dislike","bad, angry, dislike","bad, angry, dislike",,
"bad
evil","bad, evil","bad, evil",,
"bad
ill","bad, ill","bad, ill",,
"bad
poorly","bad, poorly","bad, poorly",,
"bad
unpleasant","bad, unpleasant","bad, unpleasant",,
bake,bake,bake,,
bald,bald,bald,,
"bald
bare",bald/bare,"bald, bare",,
"ball
clot","ball, clot","ball, clot",,
bare,bare,bare,,
"bare
bald",bare or bald body part,"bare, bald",,
bare,bare surface,bare surface,,
"bare
bald","bare, bald","bare, bald",,
"bare
unaided","bare, unaided","bare, unaided",,
barely,barely,barely,,
,barely able to do s.t.,barely able to do s.t.,,
bark,bark,bark,,
"basswood
bark","basswood, bark","basswood, bark",,
,bay shape,bay shape,,
"broken, open",be (broken) open,be (broken) open,,
,be (so) long,be (so) long,,
at,be at,be at,,
,be broken (stick-like things),be broken (stick-like things),JUST IGNORE CLASSIFICATION? OR COME UP WITH A STANDARD SET OF TERMS?,
,be broken (string-like things),be broken (string-like things),,
"broken
cracked",be broken/cracked,"broken, cracked",,
burst,be burst,be burst,,
day,be day,be day,,
evening,be evening,be evening,,
face away,be faced away,be faced away,,
fall over,be fallen (over),be fallen (over),,
fall off,be fallen off,be fallen off,,
fog,be foggy,be foggy,,
accustomed,"be good at, accustomed to",accustomed,be good at,
,be in a place naturally or permanently,"be in a place naturally, permanently",,
,be in pieces,be in pieces,,
,be in place,be in place,,
continue,"be in the process of, continue",continue,be in the process of,
"in
on",be in/on,be in or on,,
linked,be linked,be linked,,
meet,be met,be met,,
"much
many","be much, be many, be a lot","much, many",a lot,
night,be night,be night,,
noon,be noon,be noon,,
nudge,be nudged,be nudged,,
"strive
court (V)","be occupied with, strive, court","strive, court",be occupied with,
,be outside of water/fire,"outside of water, fire",,
,be permanently at,be permanently at,,
possible,be possible,be possible,,
rain (V),be raining,be raining,,
red,be red,be red,,
,be right side up,be right side up,,
rot,be rotten,be rotten,,
rub,be rubbed,be rubbed,,
scrape,be scraped,be scraped,,
scratch,be scratched,be scratched,,
sick,be sick,be sick,,
seize,be seized,be seized,,
somewhere,be somewhere,be somewhere,,
spring,be spring,be spring,,
,be such weather < happens so,be such weather < happens so,,
,"be such weather, happens so","be such weather, happens so",,
tilt,be tilted,be tilted,,
tired,être fatigué,be tired,,
turn around,be turned around,be turned around,,
unable,be unable,be unable,,
"unable
cannot
fail",be unable; cannot; fail to,be unable; cannot; fail to,,
used up,be used up,be used up,,
winter,be winter,be winter,,
lazy,be.lazy,be lazy,,
bead,bead,bead,,
"beam
log","beam, log","beam, log",,
bear,bear,bear,,
beat,beat,beat,,
"beat
intimidate
overpower","beat, intimidate, overpower","beat, intimidate, overpower",,
beautiful,beautiful,beautiful,,
"beautiful
fine
good","beautiful, fine, good","beautiful, fine, good",,
beaver,beaver,beaver,,
haystack,"beaver lodge, haystack",haystack,beaver lodge,
before,before,before,,
before,"before, out front",before,out front,
,"beforehand, preceding in space or time","beforehand, preceding in space, time",,
begin,begin,begin,,
begin,begin to,begin to,,
,begin to storm < arrive,begin to storm < arrive,,
arrive,"begin to storm, arrive",arrive,begin to storm,
begin,"begin, inceptive",begin,inceptive,
"begin
throw","begin, throw","begin, throw",,
behind,behind,behind,,
"behind
follow","behind, following","behind, following",,
"behind
last
after","behind, last, after","behind, last, after",,
"behind
remain","behind, remaining","behind, remain",,
"behind
remain","behind, remaining (while others depart)","behind, remain",,
believe,believe,believe,,
bell,bell,bell,,
"belong
fit
join","belong, fit, join","belong, fit, join",,
below,below,below,,
bend,bend,bend,,
"bend
crooked","bend, crooked","bend, crooked",,
"bend
fold
roll","bend, fold, roll","bend, fold, roll",,
beneath,beneath,beneath,,
"beneath
under","beneath, under","beneath, under",,
bent,bent,bent,,
berate,berate,berate,,
"berate
injure
spite
suffer","berate, injure, spite, suffer","berate, injure, spite, suffer",,
berry,berry,berry,,
best,best,best,,
"best
most
supreme","best, most, supreme","best, most, supreme",,
between,between,between,,
"beyond
behind","beyond, behind","beyond, behind",,
"beyond
farther
more","beyond, farther, more","beyond, farther, more",,
well,bien,well,,
big,big,big,,
big,big (pl.),big (pl.),,
"big
large","big, large","big, large",,
"big
much
old","big, much, old","big, much, old",,
big,"big, superlative",big,superlative,
bind,bind,bind,,
birch,birch,birch,,
bird,"bird, flying creature",bird,flying creature,
tail,bird's tail,bird's tail,,
bitter,bitter,bitter,,
bitter,"bitter, hot-flavored; in sharp pain",bitter,hot-flavored; in sharp pain,
"bitter
sting
pain","bitter, sting, pain","bitter, sting, pain",,
black,black,black,,
bladder,bladder,bladder,,
blame,blame,blame,,
white,blanc,white,,
blaze,blaze,blaze,,
"blemish
flaw","blemish, flaw","blemish, flaw",,
block,block,block,,
"blocked
cut off","blocked, cut off","blocked, cut off",,
blond,blond,blond,,
blood,blood,blood,,
"blood
red","blood, red","blood, red",,
bloody,bloody,bloody,,
bloom,bloom,bloom,,
blow,blow,blow,,
"blow
fire","blow, fire","blow, fire",,
"blow
inflate","blow, inflate","blow, inflate",,
blue,blue,blue,,
"blue
fog","blue, foggy","blue, foggy",,
"blue
green",blue/green,blue or green,,
boat,boat,boat,,
boil,boil,boil,,
bone,bone,bone,,
"bone
seed","bone, seed","bone, seed",,
"bore
pierce","bore, pierce","bore, pierce",,
borrow,borrow,borrow,,
both,both,both,,
,both sides,both sides,,
bother,bother,bother,,
move,bouger,move,,
bounce,bounce,bounce,,
bow,bow,bow,,
"bow
bend","bow, bend","bow, bend",,
bowl,bowl,bowl,,
box,box,box,,
"braid
weave
tie","braid, weave, tie","braid, weave, tie",,
brain,brain,brain,,
branch (V),branch off,branch off,,
break,break,break,,
,break as a string breaks,break as a string breaks,,
,break into pieces,break into pieces,,
break up,break up,break up,,
"break
damage","break, damage","break, damage",,
"break
uncover","break, uncover","break, uncover",,
"break
splinter
pieces","break; splinters, small pieces","break; splinters, small pieces",,
breath,breath,breath,,
breathe,breathe,breathe,,
"bright
clear","bright, clear","bright, clear",,
"bright
clear
light
see","bright, clear, light, see","bright, clear, light, see",,
"bright
shiny","bright, shiny","bright, shiny",,
bring,bring,bring,,
,bring to a point,bring to a point,,
"bring
hither",bring; hither,bring; hither,,
broken,broken,broken,,
,"broken open; of body parts: out of joint, dislocated","broken open; of body parts: out of joint, dislocated",,
brown,brown,brown,,
"brown
fade
dry up","brown, faded, dried up","brown, faded, dried up",,
"brown
yellow",brown/yellow,brown or yellow,,
brush,brush,brush,,
"brush
beat","brush, beat","brush, beat",,
"brush
sweep","brush, sweep","brush, sweep",,
noisy,bruyant,noisy,,
bucket,bucket,bucket,,
"bump
hit","bump, hit","bump, hit",,
"bump
knock
set down","bump, knock; set down","bump, knock; set down",,
"bunch
cluster
group",bunched; in a group; clustered,"bunched; clustered, in a group",,
"bundle
pack
load","bundle, pack, load","bundle, pack, load",,
"bundle
packet","bundle, packet, wrapping","bundle, packet",wrapping,
burn,burn,burn,,
"burn
scorch","burn, scorch","burn, scorch",,
burst,burst,burst,,
,"burst open, (wide) open","burst open, (wide) open",,
bury,bury,bury,,
bushy,bushy,bushy,,
busy,busy,busy,,
"butcher (V)
flay","butcher, flay","butcher, flay",,
buy,buy,buy,,
,by accident,by accident,,
,by cold,by cold,,
,by night,by night,,
"bypass
detour
skip","bypass, detour, skip","bypass, detour, skip",,
visit,"call upon, visit",visit,call upon,<- call on?
"call
name","call, name","call, name",,
calm,calm,calm,,
"calm
still (ADJ)","calm, still","calm, still",,
"calmly
quietly","calmly, quietly","calmly, quietly",,
"can
able","can, able to","can, able",,
can,"can, know how",can,know how,
cane,cane,cane,,
canoe,canoe,canoe,,
"canoe
downriver",canoe downriver,canoe downriver,,
capsize,capsize,capsize,,
card,cards,cards,,
care for,care for,care for,,
"care (N)
attention","care, attention","care, attention",,
"careful
discreet","careful, discreet","careful, discreet",,
carefully,carefully,carefully,,
carry,carry,carry,,
carry along,carry along (on the back),carry along (on the back),,
"carry
hold","carry, hold","carry, hold",,
casual,casual,casual,,
catch,catch,catch,,
,catch fire,catch fire,,
,cause by cutting,cause by cutting,,
"caution (V)
warn","caution, warn","caution, warn",,
cease,cease,cease,,
"cease
stop","cease, stop doing s.t.","cease, stop doing s.t.",,
"cease
stop
quit","cease, stop, quit","cease, stop, quit",,
"cease
stop","cease…-ing, stop…-ing","cease, stop",,
,"ceasing, put out (fire)","ceasing, put out (fire)",,
cedar,cedar,cedar,,
,celebrate a clan feast,celebrate a clan feast,,
change,change,change,,
"arrange
bend","change shape of, arrange, bend","arrange, bend",change shape of,
"change
exchange","change, exchange","change, exchange",,
sing,chanter,sing,,
"chaos
confusion","chaos, confusion","chaos, confusion",,
chap,chapped,chapped,,
"charcoal
black","charcoal, black","charcoal, black",,
chase,chase,chase,,
"cheap, easy","cheap, easy","cheap, easy",,
,checking up on s.t.,checking up on s.t.,,
chew,chew,chew,,
,chewing tobacco,chewing tobacco,,
Cheyenne,Cheyenne,Cheyenne,,
chief (N),chief,chief,,
"chief (A)
main
best
prominent
noble","chief, main, best, prominent, noble","chief, main, best, prominent, noble",,
child,child,child,,
choke,choke,choke,,
"choke
shove in","choke, shove in","choke, shove in",,
"choose
pick
select","choose, pick, select","choose, pick, select",,
chop,chop,chop,,
five,cinq,five,,
circle,circle,circle,,
"circle
around
circular
revolve","circle, around, circular, revolve","circle, around, circular, revolve",,
"circle
back","circle, back","circle, back",,
circular,circular,circular,,
"circular
around
revolve","circular, around, revolve","circular, around, revolve",,
clean,clean,clean,,
"clean
clear","clean, clear","clean, clear",,
"clean
clear
open","clean, clear, open","clean, clear, open",,
"clean
neat","clean, neat","clean, neat",,
"cleanly
properly","cleanly, properly, morally correct","cleanly, properly",morally correct,
clear,clear,clear,,
"clear
bright","clear, bright","clear, bright",,
"clear
transparent","clear, transparent","clear, transparent",,
cleft,cleft,cleft,,
climb,climb,climb,,
close (A),close,close,SHOULD REALLY CHECK TO BE SURE NOT (V),
close (A),close ,close ,SHOULD REALLY CHECK TO BE SURE NOT (V),
close (A),close by,close by,,
close (A),"close up, all the way in",close up,all the way in,
"close (V)
manage
control","close, manage, control","close, manage, control",,
closed,closed,closed,,
,"closed (of senses, mental faculties)","closed (of senses, mental faculties)",,
closed,closed (pl.),closed (pl.),,
"closed
blocked","closed, blocked","closed, blocked",,
"closed
blocked","closed, blocked, stopped up; in the way","closed, blocked",stopped up; in the way,
"closely
tightly","closely, tightly","closely, tightly",,
clothing,clothing,clothing,,
clump,clump,clump,,
"clump
mass
pile","clump, mass, pile","clump, mass, pile",,
cluster,cluster,cluster,,
"coarse
chunk","coarse, in large chunks","coarse, in large chunks",,
cold,cold,cold,,
,cold weather,cold weather,,
"cold
cool","cold, cool","cold, cool",,
"cold
freeze","cold, freeze","cold, freeze",,
,collapse of body,collapse of body,,
collect,collect,collect,,
color,color,color,,
come,come,come,,
"come after
follow","come after, follow","come after, follow",,
,"come and, come to; in this direction, hither","come and, come to; in this direction, hither",,
come out,come out,come out,,
,come suddenly to,come suddenly to,,
,come to do s.t.,come to do,,
arrive,"come toward, arriving",arrive,come toward,
"come upon
reach","come upon, reach","come upon, reach",,
"come
toward
arrive","come, toward, arriving","come, toward, arrive",,
,"coming outside, toward the speaker","come outside, toward speaker",,
common,"commun, comme les autres",common,like the others,
companion,companion,companion,,
complete,complete,complete,,
"complete
finish","complete, finish","complete, finish",,
"complete
finish
exhaust
all","complete, finish, exhaust, all","complete, finish, exhaust, all",,
completely,completely,completely,,
completely,"completely, for good",completely,for good,
completely,"completely, to exhaustion",completely,to exhaustion,
concave,concave,concave,,
conceal,conceal,conceal,,
confuse,confuse,confuse,,
confused,confused,confused,,
connected,connected,connected,,
consider,consider,consider,,
"constrict
twist
rotate","constrict, twist, rotate","constrict, twist, rotate",,
"contain
wrap","contain, wrap","contain, wrap",,
inside,"contained within an enclosure, inside s.t.",inside,contained within an enclosure,
continually,continually,continually,,
continue,"continue (states, such as 'living,' 'knowing,' etc.)","continue (states, such as 'living,' 'knowing,' etc.)",,
continue,continue doing s.t. (actions),continue,,
continue,"continue doing s.t., do s.t. intensely",continue,do s.t. intensely,
continuous,continuous,continuous,,
,converts locational forms to directional forms,converts locational forms to directional forms,,
cook,cook,cook,,
cooked,cooked,cooked,,
cool,cool,cool,,
,cool weather,cool weather,,
"cool
cold","cool, cold","cool, cold",,
copulate,copulate with,copulate with,,
copy,copy,copy,,
"corpse
dead","corpse, dead","corpse, dead",,
correct,correct,correct,,
"correspond
answer","correspond, answer","correspond, answer",,
cough,cough,cough,,
count,count,count,,
"count
read","count, read","count, read",,
country,"country, hills",country,hills,
curve,courbe,curve,,
run,courir,run,,
"course
chunks","course, in large chunks","course, in large chunks",,
cover,couvrir,cover,,
cover,cover,cover,,
cover,cover up,cover up,,
cover with,cover with,cover with,,
"cover
block
close
obstruct","cover, block, close, obstruct","cover, block, close, obstruct",,
"cover
adhere",cover; adhere,cover; adhere,,
covered,covered,covered,,
covered,covered over,covered over,,
,covered over with,covered over with,,
crack,crack,crack,,
crack,"crack, etc","crack, etc",,
cracked,cracked,cracked,,
"cramp
jerk","cramp, jerk","cramp, jerk",,
"cramped
tight
compressed","à l'étroit, serré, compressé","cramped, tight, compressed",,
crazy,crazy,crazy,,
Cree,Cree person,Cree person,,
"crooked
angled","croche, en biais","crooked, angled",,
crooked,crooked,crooked,,
"crooked
bent","crooked, bent","crooked, bent",,
cross,cross,cross,,
,crossing each other,crossing each other,,
crosswise,crosswise,crosswise,,
crush,crush,crush,,
"crushed
collapsed","crushed, collapsed","crushed, collapsed",,
cry,cry,cry,,
"cry
complain","cry, complain","cry, complain",,
"cry
weep","cry, weep","cry, weep",,
"cure
heal","cure, heal","cure, heal",,
curl,curly,curly,,
curved,curved,curved,,
"curved
crooked","curved, crooked","curved, crooked",,
"curved
bent","curved, slightly bent","curved, slightly bent",,
cut,cut,cut,,
,cut a hole,cut a hole,,
,cut hair,cut hair,,
"cut off
pull out","cut off, pull out","cut off, pull out",,
"cut off
deep
tall","cut off; deep, tall","cut off; deep, tall",,
"cut through
sever","cut through, sever","cut through, sever",,
,"cut, break (of stringlike objects)","cut, break (of stringlike objects)",,
"cut
chop
sever","cut, chop, sever","cut, chop, sever",,
"cut
sever","cut, sever","cut, sever",,
"cut
sever","cut, sever ","cut, sever ",,
cute,cute,cute,,
edge,d'un bord à l'autre,from edge to edge,,
damp,damp,damp,,
dance,dance,dance,,
danger,dangerous,dangerous,,
dark,dark,dark,,
"dark
night","dark, night","dark, night",,
dawn,dawn,dawn,,
"dawn
daylight","dawn, daylight","dawn, daylight",,
day,day,day,,
"day
sky","day, sky","day, sky",,
daylight,daylight,daylight,,
,de cette fac̹on/direction,"this way̹, direction",,
night,de nuit,at night,,
,"de telle mesure/quantité/vitesse/grosseur, à tel moment","of such and such a measure, quantity, speed, size, at such and such a time",,
dead,dead,dead,,
,deal thus with,deal thus with,,
deceive,deceive,deceive,,
decorate,decorate,decorate,,
,"decrease the mass of, lower","decrease mass of, lower",,
deer,deer,deer,,
defeat,defeat,defeat,,
defecate,defecate,defecate,,
"defecate
stink","defecate, stink","defecate, stink",,
defecate,déféquer,defecate,,
surge,déferler,surge,,
deflation,deflation,deflation,,
"deflect
move away","deflect, move away","deflect, move away",,
degree,degree,degree,,
deliberate,deliberate,deliberate,,
"delicate
weak","delicate, weak","delicate, weak",,
delicious,delicious,delicious,,
,delimiting pronominal root,delimiting pronominal root,,
dent,dent,dent,,
,déplacement effectué contre le sens du vent,movement against the wind,,
,déplacement effectué dans le sens du vent,movement in the direction of the wind,,
deprive,deprive (?),deprive (?),,
behind,derrière,behind,,
"desire
want
intend","desire, want to, intend","desire, want to, intend",,
destroy,destroy,destroy,,
two,deux,two,,
,dévier de sa trajectoire,deviate from one's course,,
"dew
damp","dew, damp","dew, damp",,
die,die,die,,
"die
sleep","die, sleep","die, sleep",,
different,different,different,,
difficult,difficult,difficult,,
"difficult
plight
afflict","difficult, plight, afflict","difficult, plight, afflict",,
dig,dig,dig,,
"dig
den
hole","dig, den, hole","dig, den, hole",,
diminish,diminish,diminish,,
dip,dip down,dip down,,
"dip, ladle","dip out, ladle","dip out, ladle",,
dip,"dip, out of liquid",dip,out of liquid,
dirt,dirt,dirt,,
dirt,dirty,dirty,,
"dirty
rough
loud
waste
neglect","dirty, rough, loud, waste, neglect","dirty, rough, loud, waste, neglect",,
"disagreeable
cross (A)","disagreeable, cross","disagreeable, cross",,
disappear,disappear,disappear,,
disappear,disappearing from sight,disappearing from sight,,
discard,discard,discard,,
discharge,discharge,discharge,,
dish,dish,dish,,
"dish
plate","dish, plate","dish, plate",,
"dislocate
reverse","dislocate, reverse","dislocate, reverse",,
,distal deictic root,distal deictic root,,
distant,distant,distant,,
divide,divide,divide,,
"divide
half",divide in half,divide in half,,
dizzy,dizzy,dizzy,,
"dizzy
drunk","dizzy, drunk","dizzy, drunk",,
,do badly,do badly,,
pull,do by pulling,do by pulling,,
"do again
recommence","do s.t. again, recommence doing s.t.","do s.t. again, recommence doing s.t.",,
"do
act","do, act","do, act",,
doctor,doctor,doctor,,
doff,doff,doff,,
dog,dog,dog,,
"dog
horse","dog, horse","dog, horse",,
door,door,door,,
sleep,dormir,sleep,,
double,double,double,,
"doubled
folded","doubled, folded","doubled, folded",,
doubt,doubt,doubt,,
down,down,down,,
,"down at bottom, reference point at bottom","down at bottom, reference point at bottom",,
,down from up,down from up,,
disembark,"down from, disembark",disembark,down from,
down,"down, down (from a point)","down, down (from a point)",,
down,"down, from upright","down, from upright",,
down,"down, to prostration","down, to prostration",,
down,"down, with surface contact","down, with surface contact",,
,"downward, as sunset","downward, as sunset",,
downstream,downstream,downstream,,
downward,downward,downward,,
downward,"downward with surface contact, away from the speaker","downward with surface contact, away from speaker",,
downward,"downward with surface contact, toward the speaker","downward with surface contact, toward speaker",,
downward,"downward, non-surface contact, from agent/subject","downward, non-surface contact, from agent or subject",,
downward,"downward, non-surface contact, toward agent/subject","downward, non-surface contact, toward agent or subject",,
"downward
east","downward, non-surface contact; east","downward, non-surface contact; east",,
"downward
south","downward, south","downward, south",,
downward,"downward, surface contact","downward, surface contact",,
downwind,downwind,downwind,,
draw,draw,draw,,
,drawn towards,drawn towards,,
dream,dream,dream,,
dress,dress,dress,,
,"dress, paint up","dress, paint up",,
dried,dried,dried,,
drink (V),drink,drink,,
"drink (N)
liquid","drink, liquid","drink, liquid",,
"droop
hang down","droop, hang down","droop, hang down",,
drop,drop,drop,,
"drop
miss
fail","drop, miss, fail","drop, miss, fail",,
"drowsy
sleepy","drowsy, sleepy","drowsy, sleepy",,
drum,drum (?),drum (?),,
dry,dry,dry,,
dry,dry (opposite of siihk-),dry (opposite of siihk-),,
"dry
hard",dry hard,dry hard,,
dry out,dry out,dry out,,
dry up,dry up,dry up,,
"dry
hard","dry, hard","dry, hard",,
"dry
rough","dry, rough","dry, rough",,
"dry
wipe","dry, wipe clean","dry, wipe clean",,
duck,duck,duck,,
dig,dug,dug,,
dull,dull,dull,,
"dull
blunt","dull, blunt","dull, blunt",,
"dung
eat",dung; eat,dung; eat,,
fall (N),during the fall,during fall,,
"spring (N)
thaw","during the spring, time of the thaw","during spring, time of thaw",,
summer,during the summer,during summer,,
winter,"during winter, over the course of winter","during winter, over the course of winter",,
dust,dust,dust,,
dust,dusty,dusty,,
"dusty
dirty","dusty, dirty","dusty, dirty",,
duty,duties,duties,,
dwell,dwell,dwell,,
,"dwell with, live (in place)","dwell with, live (in place)",,
"dwell
house","dwell, house","dwell, house",house' as a verb?,
dwelling,dwelling,dwelling,,
dye,dye,dye,,
each,each,each,,
