tags,gloss,type,subcategories
"facing (there)
RELATIVE",facing there (rel.),initial,
"happen
RELATIVE",happen thus,initial,
"like (that)
RELATIVE",like that (relative),initial,
"say
RELATIVE",say so,initial,
"say
RELATIVE",say so to,initial,
"wide
RELATIVE",so wide,initial,
"amount
degree
RELATIVE","such degree, such amount",initial,
"many
much
RELATIVE",tant,initial,
"happen
RELATIVE",to happen thus,initial,
"say
RELATIVE",to say so,initial,
"to (extent)
RELATIVE",to such an extent,initial,
"to (degree)
RELATIVE",to such degree,initial,
"as long as
extent
RELATIVE","to such extent, as long as",initial,
"intensity
RELATIVE",to such intensity,initial,
PRONOMINAL,resumptive pronominal root,initial,
"who
INDEFINITE","who, somebody indefinite",initial,
"big
SUPERLATIVE","big, superlative",initial,
"from there
thence
therefore","from there, therefore; thence",initial,
NG,neutral initial,initial,
"along
fellow
with","along, with, fellow (pseudo-root)",initial,
"fear
frighten","frighten, fear",initial,
"fast (ADV)
tight","fast, tight",initial,
"far
far (in space)
far (in time)","far, a long way off in time or space",initial,
"a lot
many
much","be much, be many, be a lot",initial,
"against (the side)
hillside","hillside, against the side (of something)",initial,
"all (night)
night","night, all night",initial,
"all (the way)
close (A)","close up, all the way in",initial,
"alert (A)
all there","alert, all there",initial,
"along
along (the way)
in (that direction)","along, along the way, in that direction",initial,
"alter (path)
around
avoid
circumvent","around, by avoiding, altering a path; circumventing",initial,
"alien
enemy
other","enemy, alien, another tribe member",initial,
"aimless
around and about
here and there","aimless, around and about",initial,
"after
end (N)
last","after, last, at end",initial,
"at (place)
there","there, at that place",initial,
"at (place)
there","there, at that place (rel.)",initial,
"inland
upland","inland, upland, away from the water",initial,
repeat,repeat; back together,initial,
"continue
in (process)","be in the process of, continue",initial,
"court (V)
occupied (with)
strive","be occupied with, strive, court",initial,
"haystack
lodge (beaver)","beaver lodge, haystack",initial,
"arrive
begin (to storm)","begin to storm, arrive",initial,
"break open
uncover","uncover, break open by hand",initial,
"by good nature
propitiously","propitiously, by good nature",initial,
"call on
visit","call upon, visit",initial,
"change (direction)
turn around","turn around, change direction",initial,
"arrange
bend
change (shape)","change shape of, arrange, bend",initial,
fellow,"fellow, co-",initial,
"arrive
come (toward)
hither","come toward, arriving",initial,
"arouse
awake","awake, arouse",initial,
"contained
inside","contained within an enclosure, inside s.t.",initial,
"damp
moist","moist, damp (with one's own natural juices)",initial,
"continue
intensely","continue doing s.t., do s.t. intensely",initial,
"disembark
down","down from, disembark",initial,
"amount (equal)
buy
measure
pay
sell","equal amount, pay, measure, sell, buy",initial,
"along
space
time","along, extension in time or space",initial,
"fail to contact
miss","miss, fail to contact",initial,
"bird
fly (V)","bird, flying creature",initial,
"fold
layer","layer, fold, fold multiple times",initial,
"late
long time",late; for a long time,initial,
"for a while
partly","partly, for a while",initial,
"completely
for good","completely, for good",initial,
"false
for nothing
needlessly","false, needlessly, for nothing",initial,
"false
for free
for nothing
needlessly","false, for nothing, for free, needlessly",initial,
"empty
free of excess","empty, free of excess",initial,
henceforth,"from speaker; henceforth, from this time onward",initial,
"from there
reason
thence","from there, reason why",initial,
"from there
thence","from there, thence",initial,
"from there
thence
therefore","from there, thence, therefore",initial,
"from there
thence
therefore","from there, therefore",initial,
"from there
thence
therefore","thence, from there, therefore",initial,
"hither
to here
toward",toward; from there to here,initial,
"infected
pus","infected, full of pus",initial,
"bunched up
gathered
placed
puckered
wrinkled","gathered together, placed together, bunched up, puckered, wrinkled",initial,
"give (at feast)
giveaway","giveaway, give at a feast",initial,
"fetch
go after","go after, fetch",initial,
"go to pieces
shatter","shatter, go to pieces",initial,
"accustomed
good at","be good at, accustomed to",initial,
"hang (dry)
out of (water)
remove","remove, hang to dry, out of water",initial,
"country
hill","country, hills",initial,
"short
shallow
grasp","short, shallow; grasp, hold fast",initial,
"hold fast
hold firm
seize","hold fast, firm; seize",initial,
"bitter
hot (flavor)
pain (sharp)","bitter, hot-flavored; in sharp pain",initial,
"dwell
house","dwell, house",initial,
"in a bad way
miserable
ruined","in a bad way, ruined, miserable",initial,
"in a row
joined
together","together, joined, in a row",initial,
"in a while
meanwhile",meanwhile; in a while,initial,
"direction (all)
scatter","scattering, in all directions",initial,
"alternately
in between","in between, at repeated intervals, alternately",initial,
"aching
pain (dull)
salty
sweet","sweet, salty; in dull pain, aching",initial,
"in error
wrong","wrong, in error",initial,
"ahead
first
in (front)","first, in front, ahead",initial,
"apart
in (parts)","apart, in parts",initial,
"finish
in (past)",finish ... -ing; in the past,initial,
"in (pieces)
messy
rough
scattered
troubled","rough, troubled, scattered, messy, in pieces",initial,
"away
backward
in (the past)
space
time","backward, away in time or space, in the past",initial,
"apart
separate (A)
in (two)","apart, separate, in two",initial,
"divide
in two
separate (V)","separate, divide; in two",initial,
"into (air)
upward","upward, into the air",initial,
"into (outdoors)
out","out (of a building or room), into the outdoors",initial,
"start
wake up","start, wake up",initial,
"delay
keep busy","keep busy, delay",initial,
"can
know (how)","can, know how",initial,
"last time
recently","last (time), recently",initial,
"ahead
lead (V)","ahead, leading",initial,
"lead (V)
main","main, leading",initial,
"common
like (others)","commun, comme les autres",initial,
"fold
tidy","fold, make tidy",initial,
"cleanly
correct
properly","cleanly, properly, morally correct",initial,
"fly (V)
motion (through air)","motion through air, fly",initial,
"exemplary
perfectly","perfectly, exemplary; nice and (round, long, etc.)",initial,
rare,"rare, not done",initial,
"around
close off
obstruction to vision
shield","shield, close off; obstruction to vision; around",initial,
"astray
off course","astray, off course",initial,
"on (mountain)
uphill","uphill, on a mountain",initial,
"aloft
hold
on (stick)
raise","hold, raise, aloft, on a stick",initial,
"on the sly
secret","en cachette, en catimini",initial,
"on the spot
quickly","with quick action, on the spot",initial,
"open (slightly)
peek","open slightly, peek",initial,
"otherwise
way (other)","otherwise, other way",initial,
"before
out front","before, out front",initial,
"bare
out in (the open)
plain","plain, bare, out in the open",initial,
"dip
out of (liquid)","dip, out of liquid",initial,
"out (of sight)
protect
shelter","shelter, protect, out of sight",initial,
"emergent
out
outward","out(ward), emergent",initial,
"exchange
in exchange
over to (side)","over to the other side, over to the other side of him/it; in exchange, exchange",initial,
"pretty
straight","straight, pretty",initial,
"enough
reach (all the way)
suffice","reach all the way, suffice, enough",initial,
"arrive
reach (destination, endpoint)
to","reach endpoint, destination, arrive, to a place",initial,
"red ochre
vermilion","red ochre, vermillion",initial,
"back
direction (reverse)","reverse direction, back",initial,
"right (side)
supine","right side up, supine",initial,
"ashore
shore
take out","ashore, shore to [sic], take out",initial,
"a little
amount (little)
amount (small)","a little, small amount, little amount",initial,
elsewhere,"elsewhere, somewhere else",initial,
"a little
slightly
sort of","slightly, sort of, a little",initial,
"blocked
closed
in (the way)
stopped (up)","closed, blocked, stopped up; in the way",initial,
"pop
sound (sudden)","pop, sudden sound",initial,
"taste (good)
smell","smell, taste good",initial,
"tear
split","split, tear in two",initial,
"so
such
way (that)","such, so, that way",initial,
right (side),right side up,initial,
next to,right next to,initial,
"completely
exhaust","completely, to exhaustion",initial,
"know
learned","to know s.t., to have learned s.t.",initial,
"enter
to (inside)","entering, to the inside",initial,
"thus
so","to that place (rel.); thus, so, like that (rel.)",initial,
"to (west)
upriver",upriver; to the west,initial,
"thither
thus
to there",thus; to there,initial,
"excessively
too fast
too strong","excessively; too (fast, strong, etc.)",initial,
"surpass
too much","surpass, too much",initial,
"excessively
too far
too fast
too much","excessively, too much, too fast or far",initial,
"display (V)
produce (V)
uncover (V)","uncover by hand, produce from place of concealment, display",initial,
"shelter (V)
under (cover)","under cover, to shelter",initial,
"up (into air)
upward","upward, up into the air",initial,
"backwards
upside down","upside down, backwards",initial,
"block
in the way
interrupt
obstruct","way (be in), obstruct, block, interrupt",initial,
"bundle
packet
wrapping (N)","bundle, packet, wrapping",initial,
"fall down
fall over","(falling) down, (falling) over",initial,
go out,(go) out,initial,
go through,(go) through,initial,
"a
one",un,initial,
place (N),a certain place,initial,
a little,a little bit,initial,
"a little
few","a little, a few",initial,
"a little
simply","a little, simply",initial,
a lot,a lot,initial,
a lot,a lot of,initial,
"a lot
many","a lot, many",initial,
short time,a short time,initial,
abandon,abandon,initial,
able,able,initial,
able,able to,initial,
able,able to do s.t.,initial,
about,about,initial,
"about
around","about, around",initial,
"about
around","about, around (in sense of 'about', not related to 'round')",initial,
"above
upward","above, upward",initial,
absence,absence of a sense,initial,
accident,accident,initial,
accidentally,accidentally,initial,
accidentally,accidently,initial,
"accustomed to
used to","accustomed to, used to",initial,
ache,aching,initial,
acquire,acquire,initial,
across,across,initial,
across,across (to the other side of) him/it,initial,
across,across the top,initial,
across,across water,initial,
across,"across, non-surface contact",initial,
"across
over","across, over",initial,
"across
over","across, over, surface contact",initial,
add,add,initial,
"add
include","add, include",initial,
"adhere
on","adhere, be on",initial,
"admire
covet
desire","admire, desire, covet",initial,
afraid,afraid,initial,
afraid,afraid of,initial,
again,again,initial,
against,against,initial,
"against (opposition)
against (will)","against one's will, against opposition",initial,
"against
close
near
transverse","against, close to, near, transverse",initial,
agitate,agitate,initial,
agitate,agitated,initial,
ahead,ahead,initial,
ahead of time,ahead of time,initial,
aimless,aimless,initial,
air (V),air out,initial,
all,all,initial,
all,all (usually agents),initial,
all,all (usually patients/undergoers),initial,
all (around),all around,initial,
direction (all),all directions,initial,
"extinction
gone","all gone, to extinction",initial,
all (together),all in one place,initial,
"dawn
morning
night","all night, until morning; at dawn",initial,
"all (over)
spread","all over, spread about",initial,
all (together),all together,initial,
"all
completely
entirely","all; entirely, completely",initial,
go towards,aller vers (quelque part/qqch),initial,
allow,allow s.o. to do s.t.,initial,
almost,almost (but did not reach goal),initial,
almost,almost (but have not yet reached goal),initial,
"almost
want","almost, want to",initial,
"aloft
away","aloft, away",initial,
alone,alone,initial,
"alone
bare","alone, bare",initial,
"alone
unaccompanied","alone, unaccompanied",initial,
along,along,initial,
"along (space)
along (time)",along in space or time,initial,
along (shore),along shore,initial,
along (edge),along the edge,initial,
along (the way),along the way,initial,
"accompany
along
with",along with another or others,initial,
"accompany
along
with","along, accompany",initial,
"along
by","along, by",initial,
"along
by","along, by (position)",initial,
"along
past","along, past",initial,
"along
past","along, past, along or past him/it",initial,
"along
by
past","along, past, by",initial,
"along
with","along, with",initial,
"along
fellow
with","along, with, fellow",initial,
"along
with","along, with, with others",initial,
"along
along (stream)",along; along a stream,initial,
"along
past",along past him/it,initial,
"alongside
beside","alongside, beside",initial,
"already
finish
prepare","already, finish, prepare",initial,
"also
include","also, include",initial,
alternate,alternate,initial,
always,always do s.t.,initial,
amazing,amazing,initial,
ambush,embusquer,initial,
angle,angle,initial,
angry,angry,initial,
"angry
disagree
dislike","angry, disagree, dislike",initial,
"angry
hot","angry, hot",initial,
"answer
connect
retaliate","answer, retaliate, connect",initial,
ant,ant,initial,
anus,anus,initial,
person,any person,initial,
apart,apart from,initial,
"apart
broken","apart, of bones: broken",initial,
appear,appear,initial,
apportion,apportioned,initial,
approach,approach,initial,
approach,approaching,initial,
around,around,initial,
tie around,around (tie),initial,
"around (a center)
encircle
revolve","around a center, revolving around or encircling a center",initial,
"aimless
around and about
here and there",around aimlessly,initial,
"aimless
around and about
here and there","around aimlessly, here and there",initial,
around,around here,initial,
"about
around","around, about",initial,
"around (a center)
rotate","around, as in rotating around a center",initial,
"around
return
turn","around, turning, returning",initial,
"anger (V)
arouse","arouse, anger",initial,
arrange,arrange,initial,
"arrange
shape (V)","arrange, shape",initial,
arrival (place),arrival point,initial,
arrive,arrive,initial,
arrive,arrive at,initial,
"arrive
come","arrive, come",initial,
"arrive
reach","arrive, reach a goal",initial,
arrive,arriving at home,initial,
"arrive
return","arriving back at home, returning home",initial,
"arrive
return","arriving back, returning",initial,
arrow,arrow,initial,
"heated (A)
warm","artificially warm, heated",initial,
as long as,as long as,initial,
time,as the time goes along,initial,
ash,ashes,initial,
"ash
charcoal","ashes, charcoal",initial,
"ash
powder","ashes, powder",initial,
ashore,ashore,initial,
"ashore
emerge",ashore; emerge,initial,
aside,aside,initial,
"apart
aside
differently","aside, apart, differently",initial,
"aside
crooked
curved
deviate","aside, deviating, crooked, curved",initial,
"assign (task)
work","assign a task, work",initial,
thirsty,assoiffé,initial,
at (crossroads),at crossroad,initial,
dawn,à l'aube,initial,
dusk,à la tombée du jour,initial,
at (speed),en vitesse,initial,
edge,at the edge,initial,
same time as,"at the same time, as s.t. else was/is going on",initial,
attach,attach,initial,
attach,attached,initial,
"appear
attack","attack, appear",initial,
attract,attract,initial,
morning,au matin,initial,
spring,au printemps,initial,
audible,audible,initial,
authority,authority,initial,
autumn,autumn,initial,
"avoid
forbid","avoid, forbid",initial,
awake,awake,initial,
"awake
rouse","awake, rouse",initial,
away,away,initial,
away,away from,initial,
"away (from an area)
escape","away from an area, as in escaping",initial,
away (from here),away from here,initial,
away (from speaker),away from speaker,initial,
"avoid
away","away from, avoiding",initial,
"away
backward","away, backward",initial,
"away
begin","away, beginning",initial,
"away
escape","away, escaping",initial,
"away
escape
flee","away, escaping, fleeing",initial,
"away
carry off
lead","away, lead, carry off",initial,
"away
gone
off","away, off, gone",initial,
"away
recede
remove","away, recede, remove",initial,
"away
disposal
removal
removed","away, removal, disposal; removed (permanently)",initial,
"away
start","away, start",initial,
"awful
terrible","awful, terrible",initial,
"awkward
poorly","awkward, poorly",initial,
axe,axe,initial,
back,back,initial,
back (direction),back (directional),initial,
back and forth,back and forth,initial,
"back and forth
exchange","back and forth, in exchange",initial,
"back around
reverse course","back around, reversing course",initial,
back (body),back of body,initial,
back (time),"back there in former times, far back away there; far back in time, in the past",initial,
"back
fold","back, fold",initial,
"away
backward","backward, away",initial,
backward,backwards,initial,
bad,bad,initial,
bad,bad (defective),initial,
bad,bad (of character),initial,
"angry
bad
dislike","bad, angry, dislike",initial,
"bad
evil","bad, evil",initial,
"bad
ill","bad, ill",initial,
"bad
poorly","bad, poorly",initial,
"bad
unpleasant","bad, unpleasant",initial,
bake,bake,initial,
bald,bald,initial,
"bald
bare",bald/bare,initial,
"ball
clot","ball, clot",initial,
bare,bare,initial,
"bare
bald",bare or bald body part,initial,
bare,bare surface,initial,
"bald
bare","bare, bald",initial,
"bare
unaided","bare, unaided",initial,
barely,barely,initial,
able (barely),barely able to do s.t.,initial,
bark,bark,initial,
"bark
basswood","basswood, bark",initial,
bay (shape),bay shape,initial,
broken open,be (broken) open,initial,
at,be at,initial,
"broken
cracked",be broken/cracked,initial,
burst,be burst,initial,
day,be day,initial,
evening,be evening,initial,
face away,be faced away,initial,
fall over,be fallen (over),initial,
fall off,be fallen off,initial,
fog,be foggy,initial,
"in (a place)
permanently",be in a place naturally or permanently,initial,
in (pieces),be in pieces,initial,
in (place),be in place,initial,
"in
on",be in/on,initial,
linked,be linked,initial,
meet,be met,initial,
night,be night,initial,
noon,be noon,initial,
nudge,be nudged,initial,
"outside of (water, fire)",be outside of water/fire,initial,
permanently (at),be permanently at,initial,
possible,be possible,initial,
rain (V),be raining,initial,
red,be red,initial,
right side up,be right side up,initial,
rot,be rotten,initial,
rub,be rubbed,initial,
scrape,be scraped,initial,
scratch,be scratched,initial,
sick,be sick,initial,
seize,be seized,initial,
somewhere,be somewhere,initial,
spring,be spring,initial,
tilt,be tilted,initial,
tired,être fatigué,initial,
turn around,be turned around,initial,
unable,be unable,initial,
"cannot
fail
unable",be unable; cannot; fail to,initial,
used up,be used up,initial,
winter,be winter,initial,
lazy,be.lazy,initial,
bead,bead,initial,
"beam
log","beam, log",initial,
bear,bear,initial,
beat,beat,initial,
"beat
intimidate
overpower","beat, intimidate, overpower",initial,
beautiful,beautiful,initial,
"beautiful
fine
good","beautiful, fine, good",initial,
beaver,beaver,initial,
before,before,initial,
"before
precede","beforehand, preceding in space or time",initial,
begin,begin,initial,
begin,begin to,initial,
"arrive
begin (to storm)",begin to storm < arrive,initial,
"begin
throw","begin, throw",initial,
behind,behind,initial,
"behind
follow","behind, following",initial,
"after
behind
last","behind, last, after",initial,
"behind
remain","behind, remaining",initial,
"behind
remain","behind, remaining (while others depart)",initial,
believe,believe,initial,
bell,bell,initial,
"belong
fit
join","belong, fit, join",initial,
below,below,initial,
bend,bend,initial,
"bend
crooked","bend, crooked",initial,
"bend
fold
roll","bend, fold, roll",initial,
beneath,beneath,initial,
"beneath
under","beneath, under",initial,
bent,bent,initial,
berate,berate,initial,
"berate
injure
spite
suffer","berate, injure, spite, suffer",initial,
berry,berry,initial,
best,best,initial,
"best
most
supreme","best, most, supreme",initial,
between,between,initial,
"behind
beyond","beyond, behind",initial,
"beyond
farther
more","beyond, farther, more",initial,
well,bien,initial,
big,big,initial,
big,big (pl.),initial,
"big
large","big, large",initial,
"big
much
old","big, much, old",initial,
bind,bind,initial,
birch,birch,initial,
tail,bird's tail,initial,
bitter,bitter,initial,
"bitter
pain
sting","bitter, sting, pain",initial,
black,black,initial,
bladder,bladder,initial,
blame,blame,initial,
white,blanc,initial,
blaze,blaze,initial,
"blemish
flaw","blemish, flaw",initial,
block,block,initial,
"blocked
cut off","blocked, cut off",initial,
blond,blond,initial,
blood,blood,initial,
"blood
red","blood, red",initial,
bloody,bloody,initial,
bloom,bloom,initial,
blow,blow,initial,
"blow
fire","blow, fire",initial,
"blow
inflate","blow, inflate",initial,
blue,blue,initial,
"blue
fog","blue, foggy",initial,
"blue
green",blue/green,initial,
boat,boat,initial,
boil,boil,initial,
bone,bone,initial,
"bone
seed","bone, seed",initial,
"bore
pierce","bore, pierce",initial,
borrow,borrow,initial,
both,both,initial,
both (sides),both sides,initial,
bother,bother,initial,
move,bouger,initial,
bounce,bounce,initial,
bow,bow,initial,
"bend
bow","bow, bend",initial,
bowl,bowl,initial,
box,box,initial,
"braid
tie
weave","braid, weave, tie",initial,
brain,brain,initial,
branch (V),branch off,initial,
break,break,initial,
break (into pieces),break into pieces,initial,
break up,break up,initial,
"break
damage","break, damage",initial,
"break
uncover","break, uncover",initial,
"break
piece
splinter (N)","break; splinters, small pieces",initial,
breath,breath,initial,
breathe,breathe,initial,
"bright
clear","bright, clear",initial,
"bright
clear
light
see","bright, clear, light, see",initial,
"bright
shiny","bright, shiny",initial,
bring,bring,initial,
bring (to a point),bring to a point,initial,
"bring
hither",bring; hither,initial,
broken,broken,initial,
"broken (body part)
dislocated
out (of joint)","broken open; of body parts: out of joint, dislocated",initial,
brown,brown,initial,
"brown
dry up
fade","brown, faded, dried up",initial,
"brown
yellow",brown/yellow,initial,
brush,brush,initial,
"beat
brush","brush, beat",initial,
"brush
sweep","brush, sweep",initial,
noisy,bruyant,initial,
bucket,bucket,initial,
"bump
hit","bump, hit",initial,
"bump
knock
set down","bump, knock; set down",initial,
"bunch
cluster
group",bunched; in a group; clustered,initial,
"bundle
load
pack","bundle, pack, load",initial,
burn,burn,initial,
"burn
scorch","burn, scorch",initial,
burst,burst,initial,
"burst
open","burst open, (wide) open",initial,
bury,bury,initial,
bushy,bushy,initial,
busy,busy,initial,
"butcher (V)
flay","butcher, flay",initial,
buy,buy,initial,
by accident,by accident,initial,
by night,by night,initial,
"bypass
detour
skip","bypass, detour, skip",initial,
"call
name","call, name",initial,
calm,calm,initial,
"calm
still (ADJ)","calm, still",initial,
"calmly
quietly","calmly, quietly",initial,
"able
can","can, able to",initial,
cane,cane,initial,
canoe,canoe,initial,
"canoe
downriver",canoe downriver,initial,
capsize,capsize,initial,
card,cards,initial,
care for,care for,initial,
"attention
care (N)","care, attention",initial,
"careful
discreet","careful, discreet",initial,
carefully,carefully,initial,
carry,carry,initial,
carry along,carry along (on the back),initial,
"carry
hold","carry, hold",initial,
casual,casual,initial,
catch,catch,initial,
catch (fire),catch fire,initial,
"caution (V)
warn","caution, warn",initial,
cease,cease,initial,
"cease
stop","cease, stop doing s.t.",initial,
"cease
quit
stop","cease, stop, quit",initial,
"cease
stop","cease…-ing, stop…-ing",initial,
"cease
put out (fire)","ceasing, put out (fire)",initial,
cedar,cedar,initial,
"celebrate
feast (N)",celebrate a clan feast,initial,
change,change,initial,
"change
exchange","change, exchange",initial,
sing,chanter,initial,
"chaos
confusion","chaos, confusion",initial,
chap,chapped,initial,
"black
charcoal","charcoal, black",initial,
chase,chase,initial,
"cheap
easy","cheap, easy",initial,
check up on,checking up on s.t.,initial,
chew,chew,initial,
tobacco,chewing tobacco,initial,
Cheyenne,Cheyenne,initial,
chief (N),chief,initial,
"best
chief (A)
main
noble
prominent","chief, main, best, prominent, noble",initial,
child,child,initial,
choke,choke,initial,
"choke
shove in","choke, shove in",initial,
"choose
pick
select","choose, pick, select",initial,
chop,chop,initial,
five,cinq,initial,
circle,circle,initial,
"around
circle
circular
revolve","circle, around, circular, revolve",initial,
"back
circle","circle, back",initial,
circular,circular,initial,
"around
circular
revolve","circular, around, revolve",initial,
clean,clean,initial,
"clean
clear","clean, clear",initial,
"clean
clear
open","clean, clear, open",initial,
"clean
neat","clean, neat",initial,
clear,clear,initial,
"bright
clear","clear, bright",initial,
"clear
transparent","clear, transparent",initial,
cleft,cleft,initial,
climb,climb,initial,
close,close,initial,
close,close ,initial,
close (A),close by,initial,
"close (V)
control
manage","close, manage, control",initial,
closed,closed,initial,
closed (senses),"closed (of senses, mental faculties)",initial,
closed,closed (pl.),initial,
"blocked
closed","closed, blocked",initial,
"closely
tightly","closely, tightly",initial,
clothing,clothing,initial,
clump,clump,initial,
"clump
mass
pile","clump, mass, pile",initial,
cluster,cluster,initial,
"chunk
coarse","coarse, in large chunks",initial,
cold,cold,initial,
weather (cold),cold weather,initial,
"cold
cool","cold, cool",initial,
"cold
freeze","cold, freeze",initial,
collapse (body),collapse of body,initial,
collect,collect,initial,
color,color,initial,
come,come,initial,
"come after
follow","come after, follow",initial,
"come
hither
in (this direction)","come and, come to; in this direction, hither",initial,
come out,come out,initial,
come (suddenly),come suddenly to,initial,
come to do,come to do s.t.,initial,
"come upon
reach","come upon, reach",initial,
"arrive
come
toward","come, toward, arriving",initial,
"come (outside)
toward","coming outside, toward the speaker",initial,
companion,companion,initial,
complete,complete,initial,
"complete
finish","complete, finish",initial,
"all
complete
exhaust
finish","complete, finish, exhaust, all",initial,
completely,completely,initial,
concave,concave,initial,
conceal,conceal,initial,
confuse,confuse,initial,
confused,confused,initial,
connected,connected,initial,
consider,consider,initial,
"constrict
rotate
twist","constrict, twist, rotate",initial,
"contain
wrap","contain, wrap",initial,
continually,continually,initial,
continue,"continue (states, such as 'living,' 'knowing,' etc.)",initial,
continue,continue doing s.t. (actions),initial,
continuous,continuous,initial,
cook,cook,initial,
cooked,cooked,initial,
cool,cool,initial,
weather (cool),cool weather,initial,
"cool
cold","cool, cold",initial,
copulate,copulate with,initial,
copy,copy,initial,
"corpse
dead","corpse, dead",initial,
correct,correct,initial,
"answer
correspond","correspond, answer",initial,
cough,cough,initial,
count,count,initial,
"count
read","count, read",initial,
curve,courbe,initial,
run,courir,initial,
"chunk
course","course, in large chunks",initial,
cover,couvrir,initial,
cover,cover,initial,
cover up,cover up,initial,
cover with,cover with,initial,
"block
close
cover
obstruct","cover, block, close, obstruct",initial,
"adhere
cover",cover; adhere,initial,
covered,covered,initial,
covered,covered over,initial,
covered (with),covered over with,initial,
crack,crack,initial,
crack,"crack, etc",initial,
cracked,cracked,initial,
"cramp
jerk","cramp, jerk",initial,
"compressed
cramped
tight","à l'étroit, serré, compressé",initial,
crazy,crazy,initial,
Cree,Cree person,initial,
"angled
crooked","croche, en biais",initial,
crooked,crooked,initial,
"bent
crooked","crooked, bent",initial,
cross,cross,initial,
crosswise,crosswise,initial,
crush,crush,initial,
"collapsed
crushed","crushed, collapsed",initial,
cry,cry,initial,
"complain
cry","cry, complain",initial,
"cry
weep","cry, weep",initial,
"cure
heal","cure, heal",initial,
curly,curly,initial,
curved,curved,initial,
"crooked
curved","curved, crooked",initial,
"bent
curved","curved, slightly bent",initial,
cut,cut,initial,
cut (hole),cut a hole,initial,
cut (hair),cut hair,initial,
"cut off
pull out","cut off, pull out",initial,
"cut off
deep
tall","cut off; deep, tall",initial,
"cut through
sever","cut through, sever",initial,
"chop
cut
sever","cut, chop, sever",initial,
"cut
sever","cut, sever",initial,
"cut
sever","cut, sever ",initial,
cute,cute,initial,
edge,d'un bord à l'autre,initial,
damp,damp,initial,
