English word,Source definition(s),Miami-Illinois word,Stem form,Stem definition,Initial,Initial definition,Medial,Medial definition,Final,Final definition,Grammatical Strategy,Semantic Strategy,Comments
NEEDLE,"needle, pin",šaaponaakani,šaaponaakan-,thing that pierces/goes through,,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
Norwegian person,,---,,,,,,,,,,,
OATS,"oats/wheat; oats, rice, wheat","aloomini, naloomini, laloomina, maloomini",,,,,,,,,,semantic extension,
office,,---,,,,,,,,,,,
ONION,"onion, garlic",wiinihsihsia,,,,,,,,,,,
ORANGE,,---,,,,,,,,,,,
OX,,---,,,,,,,,,,,
pancake,,peepankihšinki,papankihšin-,it is made flat,,,,,,,,metonymy: associated attribute or action,
PAPER,"newspaper, letter, paper",mahsinaakani,mahsinaham-,"owe it, buy it on credit",,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
PEACH,,peeweeyocia,,,,,,,,,,,
PEAS,,aleciimin-,,,,,,,,,,,
pencil,pencil (lead),aloonhsi awikataakani,,,,,,,,,,,
piano,"piano, organ",noontaahkonaakani,noontaahkonaakan-,woodlike thing that makes a noise by action of hands,,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
PIG,,koohkooša,,,,,,,,,,,
PISTOL,,papikwaanihsi,papikwan-,gun,,,,,,diminutive,derivation: secondary,,
"pop, soda",,---,,,,,,,,,,,
refrigerator,,---,,,,,,,,,,,
RIBBON,"it is flat string, thread, ribbon",peepankišaapiikahki,papankišaapiikat-,it is flat and stringlike,,,,,,,,,
RICE,"oats/wheat; oats, rice, wheat","aloomini, naloomini, laloomina, maloomini",,,,,,,,,,,modern community dictionary has settled on naloomina for rice
RICH,"he is rich, wealthy",taleewa,talee-,"rich, wealthy",,,,,,,,,
ripsaw,,---,,,,,,,,,,,
ROOSTER,"male bird, rooster","kiihcia, kiihciiwa, kiihciinsa",,,,,,,,,,,
ROOSTER,,kiihcia pileewa,,,,,,,,,,,
rutabaga,,---,,,,,,,,,,,
SATURDAY,,kaakaathsokone pooni-kiišikahki,,sixth day of the week,,,,,,,,,
saw,,"kiihkahaakani, kiihkišaakani",kiihkišam-,"cut it, notch it with a knife",,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
saw,handsaw,kiihkihpotaakani,kiiskihpotoo-,i saw it crosswise,,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
SCHOOL,schoolhouse,"nipoontiikaani, nipwaantiikaani, neepwaantiikaani",nepwaam-,teach him/her,,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,"these terms go back to Gatschet & Dunn, but modern speech community settled on nipwaantiikaani"
SCISSORS,"scissors, sickle, scythe, reaper","moošwaakani, moošwaakanti, moošaakani",moošam-,cut it (hair),,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,"Dunn says Oklahoma Miamis use moošwaakanti for 'scissors' and moošwaakati for 'scythe, sickle, and mowing machine'; modern speech community settled on moošwaakanti; Illinois era documenters found a word <8e8entinagane> or <8i8intinagane> which has not yet been deciphered"
screwdriver,,---,,,,,,,,,,,
SHEEP,sheep (Ovis aries),waapi-moohswa,waapi-moohsw-,white deer,,,,,,,compounding,semantic extension & metonymy: associated feature (color),
shoe,"shoe, moccasin",mahkisini,mahkisen-,"shoe, moccasin",,,,,,,---,semantic extension,
SHOVEL,"hoe, shovel",moonahaakani,moonaham-,"dig it, cultivate it",,,,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
SHOVEL,"adze, shovel",waalahaakani,waalahaakan-,"instrument for hollowing, excavating",waalaham-,"hollow it out, excavate it (by instrument)",,,-aakan,instrumental,derivation: secondary,metonymy: associated action,
"sled, toboggan","sled, sleigh",ciimwiki,cf. ciimaani,"paddle, oar",,,,,,,,,
"sled, toboggan","sled, sleigh",peepakita ciimwiki,peepakita ciimwik-,it is a flat sled,,,,,,,compounding,,
slow cooker,,---,,,,,,,,,,,
snow plow,,---,,,,,,,,,,,
SOAP,,"waapahaakani, waapinaakani",šimaakan-,"lance, spear",,,,,,,,,
SOLDIER,,šimaakaneehsia,,,,,,,,,,,
Spaniard,"Spanird, Mexican","iihpaawala, iihpaayoolwa, iihpawilookia",,,,,,,,,,,
SPOON,,eehsa,eehs-,a shell,,,,,,,,,
SPOON,,kookaani,,,,,,,,,,,
stamp (postage),,---,,,,,,,,,,,
starch (V),,---,,,,,,,,,,,
STORE/SHOP,,ataaweekaani,ataawee-,"he/she trades, sells",,,,,,,,,
stove,,kišaaphkaahkosaakani,,,,,,,,,,,
SUGAR,,paankosikani,paankosam-,he/she boils it down,,,,,,,,,
Swede,,---,,,,,,,,,,,
TABLE,,,,,,,,,,,,,
TEA,,,,,,,,,,,,,
telephone,,kiipihkataapiikwi eehi-'hkwa aayaacimwihtaatinki,,wire for speaking into,,,,,,,compounding,metonymy: associated action,Gatschet
THREAD,"thread, cord, hemp; thread","masaana, masaani",masaan-,"thread, cord, hemp, rope",,,,,,,,semantic extension,
tire,,ahkana,ahkan-,"his/her bone, leg",,,,,,,---,semantic extension,
toaster,,---,,,,,,,,,,,
tomato,"tomato (cranberry, cherry)",neehpikiciiki,neehpikicii-,"it is red bodied, red and round",niihpik-,red,,,-ecii,"body, round",,,modern speech community has settled on this form meaning tomato and the form for cranberry having a final long /i:/; Gatschet gives this form as also meaning cherry
TOWN,,minooteeni,,,min-,be apart,,,-oote,dwell together as a group,derivation: primary,metonymy: associated action,Costa cites Goddard 1993:214 here
train,,aahkoleeki šoohkwaakani,smoking sled/wagon,,aahkoleeki-,it is smoking,,,,,,metonymy: associated action,
train,,(is)koteewi šoohkwaakani,fire sled/wagon,,(is)koteew-,fire,,,,,,metonymy: associated action,
TURNIP,,waawiyiihpina,waawiyiihpin-,it is a round potato,waawiy-,round,,,,,,,
TURNIP,,meekwaaki,,,,,,,,,,,Dunn says this means 'cabbage' in Eastern Miami but 'turnip' in Wea and Western Miami
type (V),,---,,,,,,,,,,,
violin,"violin, guitar, fiddle",noontaahkwaapiikahaakani,noontaahkwaapiikahaakan-,,,,,,,,,,
WAGON,,,,,,,,,,,,,
washing machine,,---,,,,,,,,,,,
WATERMELON,,iihkihtaminki,iihkihtamin-,berry eaten raw,,,,,-imin,berry,derivation: secondary,metonymy: associated action,
WEDNESDAY,,nihsokone pooni-kiišikahki,nihsokone pooni-kiišikat-,it is the third day,,,,,,,,,
WHEAT,"oats/wheat; oats, rice, wheat","aloomini, naloomini, laloomina, maloomini",,,,,,,,,,,
WHEAT,wild oats or french wheat,mahkihkiwa miincipi,,medicine corn,,,,,,,,,Illinois era
WHEAT,"flour, wheat flour, wheat","noohkimini, noohkimina, loohkimini, loohkimina",noohkimin-,soft berry,noohk-,soft,,,-imin,berry,derivation: secondary,metonymy: associated sensation (touch),
whiskey,,"wiiski, wiiški",,,,,,,,,borrowing,---,
whiskey,"brandy, whiskey, alcohol","(is)koteewaapowi, (is)koteeyaawaapowi",iskoteewaapow-,fire-liquid,iskotew-,fire,,,-aapow,liquid,derivation: secondary,metonymy: associated sensation (taste),
white people,one who has/wears a hat,eetéhtolenia,atehtoleni-,wear a hat,,,,,,,derivation: primary,metonymy: associated artifact (alienable),
WINDOW,,poohkišaakani,poohkišaakan-,thing for cutting a hole OR thing with a hole in it,poohkiš-,cut a hole in it,,,-aakan,instrument,,,"in oldest records this only refers to a lancet/borer/instrument for making a hole, whereas in later records it refers to a window"
WINDOW,,poohkwaanteemi,poohkwaanteem-,hole-door,poohk-,hole,,,-kwaanteem,"door, gate",,,Le Boullenger recorded in Illinois era records; current community word for 'window' only meant 'tool for making a hole'
"wine, grape juice",,aahsanteepakwaapowi,aahsanteepakwaapow-,grape liquid,aahsanteepak-,grape,,,-aapow,liquid,derivation: secondary,,
wrench,,---,,,,,,,,,,,
wringer (on a washing machine),,---,,,,,,,,,,,
