English word,Source definition(s),Potawatomi word,Stem form,Stem definition,Initial,Initial definition,Medial,Medial definition,Final,Final definition,Grammatical Strategy,Semantic Strategy,Comments
MULE,"donkey, mule",mémakshé,*mmangshe,s/he has big ears,,,,,,,participle formation,metonymy: associated attribute (inalienable),"speaker derivation (from Welcher note so presumably MD): ""one who is slow to do something"" (cf. Nish memaangshenh)"
musical instrument,,nodakwchegen,cf. n#nodagwton,"I make noise with it, play it as a musical instrument",,,,,-gen,instrumental,derivation: secondary,metonymy: associated action,BD nodagwchegen. There's a non-elder checked version using one of the other 'make noise' initials mdwéwé. Also 'radio'
NAIL,,zge'gas,zge'gen,spike,,,,,-as,diminutive,derivation: secondary,metonymy: associated action,"zeg- 'grasp, attach, fasten, bite'"
NEEDLE,,zhabnegen,*n#zhabwnan,I put it through,,,,,-gen,instrumental,derivation: secondary,metonymy: associated action,
NEEDLE,darning needle,mskogadkan zhabnegen,,,,,,,,,compounding: N+N,metonymy: associated attribute (artifact),
Norwegian person,,--,,,,,,,,,,,
OATS,"1. wild rice 2. oats, oatmeal",mnomen,,,,,,,,,--,semantic extension (function?),
office,,--,,,,,,,,,,,
ONION,,zhgagwesh,,,,,,,,,?,?,this is a native plant
ORANGE,,anjes,,,,,,,,,borrowing,--,
OX,,--,,,,,,,,,,,
pancake,,bénkikos,,,,,,,-os,diminutive,borrowing + secondary derivation,--,
PAPER,"1. paper 2. book 3. document 4. letter, card",mzen'egen,nmezne'an [<mezen- -e'],I owe it on credit,,,,,-gen,instrumental,derivation: secondary,metonymy,associated substance (paper the debt is written on with the debt itself)?
PEACH,,mish-bokma,mish-bokma,"lit. 'hairy plum, prune'",,,,,,,compounding: N+N,metonymy: associated attribute,
PEAS,pea,mnejimen,,,menw-,good,-ji-,"globular, spherical",-men,berry,derivation: primary,metonymy: associated attribute,not totally sure of derivation here
PEAS,pea pod,mnejimen-wmedné,wmedné,s/he has a blanket,,,,,,,compounding: N+V,metonymy: associated attribute,
pencil,"pen, pencil",wzhebyé'gen,wzhebyé'gé,s/he writes things down,,,,,-n,nominalizer,derivation: secondary,metonymy: associated attribute,
pencil,"pen, pencil",wzhebyé'genatek,,,,,,,,,,,
piano,,--,,,,,,,,,,,
PIG,1. pig 2. pork,gokosh,,,,,,,,,borrowing,,
PISTOL,,--,,,,,,,,,,,
"pop, soda","sweet liquid (sap, pop, juice)",wishkebabo,wishkbe,it is sweet,,,,,-abo,"liquid, beverage",derivation: secondary,metonymy: associated sensation (taste),not vinegar
refrigerator,"refrigerator, icebox",tkesgen,tkeze,it is cold,,,,,-egen,nominalizer,derivation: secondary,metonymy: associated sensation (temperature),could this be state?
refrigerator,,mkwemitaswen,taswen,"cupboard, cabinet, something up for pawning",,,,,,,compounding: N+N,metonymy...,
RIBBON,,zénba,,,,,,,,,borrowing,--,
RICE,"1. wild rice 2. oats, oatmeal",mnomen,,,,,,,,,,semantic extension (function),originally wild rice
RICH,"he/she is wealthy, rich (in s.t.)",gkadze,,,,,,,,,derivation: primary,,?
ripsaw,1. rip saw 2. butcher's saw 3. sawmill,bapaskebojgen,cf. n#bapaske'ewa,I split it several times (e.g. wood),,,,,-egen,nominalizer,derivation: secondary,,
ROOSTER,,nabésé,nabé,"man, male",,,,,-sé,final for birds (and other creatures),derivation: secondary,metonymy: associated attribute,some disagreement over whether the form bak'akwa counts as potawatomi
rutabaga,,jis,,,,,,,,,derivation: primary,,?
SATURDAY,,odanké-gizhget,,,,,,,,,compounding: V+N,metonymy: associated action,
saw,"saw, cross-cut saw, chainsaw",gishkbojgen,,,,,,,,,,,
SCHOOL,,skongemek,,,skono,s/he attends school,,-,-wgemek,"building, room",borrowing + secondary derivation,--,
SCHOOL,school building,gkeno'magéwgemek,*gkeno'magé,"attend school, receive education, be taught",,,,,-wgemek,"building, room",derivation: secondary,metonymy: associated action,
SCISSORS,,moshwagen,n#mozhwa,i cut his/her hair,,,,,-egen,nominalizer,derivation: secondary,metonymy: associated action,also zh
screwdriver,1. screwdriver 2. wrench,byémsko'gen,n#byémskonan,i twist it,,,,,-egen,nominalizer,derivation: secondary,metonymy: associated action,
SHEEP,,mantanesh,,,,,,,,,borrowing,,not transparently borrowed
shoe,"1. moccasin, shoe 2. tire",mkezen,,,,,,,,,--,semantic extension (function),
SHOVEL,,jigbegwe'gen,,,,,,,,,derivation: secondary,?,? *jiigibingwi-?
"sled, toboggan","sled, sleigh (one that slips or slides)",zhwashkwsét,zhoshkwshen,he/she slips and falls,,,,,,,participle formation,metonymy: associated action,
"sled, toboggan",,zhoshk'owen,zhoshke'o,"he/she slides (down), goes sledding",,,,,-wen,nominalizer,derivation: secondary,metonymy: associated action,
slow cooker,,wabgen-kek,kek,"pail, pot, kettle",,,,,,,compounding: N+N,?,
snow plow,,zhagagwnégét,cf. zhigwnegé,s/he empties things,,,,,,,participle formation,metonymy: associated action,
SOAP,,gzibyég'egen,ngezibyéngé,I wash things,,,,,,,derivation: secondary,metonymy: associated action,some speakers have i instead of yé
SOLDIER,,zhemagnesh,zhemagen,"lance, spear",,,,,-esh,pejorative,derivation: secondary,metonymy: associated attribute (artifact),
Spaniard,,--,,,,,,,,,,,
SPOON,spoon,émkwanés,émkwan,"spoon, big spoon, ladle",,,,,-és,diminutive,derivation: secondary,?,
SPOON,"spoon, big spoon, ladle",émkwan,,,,,,,,,?,?,Derivation not transparent in oji-pot. can also be a regular spoon.
stamp (postage),,bozto-debés,,,,,,,,,compounding: V+N,metonymy: associated attribute,"cf. nbozton 'i send it, mail it; i load it'"
starch (V),,--,,,,,,,,,,,
STORE/SHOP,,dawéwgemek,dawé,s/he sells things,,,,,-wgemek,"building, room",derivation: secondary,metonymy: associated action,
stove,1. stove 2. furnace,gzhabkezgen,cf. gzhabkezo,it (an.) is hot (rock or metal),,,,,-egen,nominalizer,derivation: secondary,metonymy...,
SUGAR,maple sugar,zizbakwet,,,,,,,,,?,?,
Swede,,--,,,,,,,,,,,
TABLE,,dopwen,dop,s/he eats out of (s.t.),,,,,,,derivation: secondary,metonymy: associated action,
TEA,,ti,,,,,,,,,borrowing,--,
TEA,"it is green liquid, green tea",skebgaboya,skebegabo,green liquid,,,,,-ya,inanimate intransitive verb,derivation: secondary,metonymy: associated attribute,"this is a verb form, 'it is green tea'; color borrowed from FSK"
telephone,"1. metal, iron 2. wire 3. telephone 4. fence",biwabkos,biwabek,metal,,,,,,diminutive,derivation: secondary,metonymy: associated attribute,
THREAD,"thread, string",sebabis,sebap,rope,,,,,,diminutive,derivation: secondary,?,
tire,"1. moccasin, shoe 2. tire",mkezen,,"shoe, moccasin",,,,,,,--,semantic extension (function),
toaster,,--,,,,,,,,,,,
tomato,,temido,,,,,,,,,borrowing,--,
TOWN,,odan,,,,,,,,,--,semantic extension,
train,"1. truck, pick-up truck 2. freight train",yawdasot,yawdaso-,haul,,,,,,,participle formation,metonymy: associated action,
train,,shkodé-dabyan,,,,,,,,,compounding: N+N,metonymy...,
TURNIP,,wabshke-jis,,,,,,,,,,,
type (V),,--,,,,,,,,,,,
violin,,nazhabik'egen,,,,,,,,,,,
violin,,nazhabyé'gen,,,,,,,,,,,
WAGON,,--,,,,,,,,,,,
washing machine,1. washtub 2. washing machine 3. laundromat,gzibyéngen,n#gezibyénan,I wash it (by hand),,,,,-egen,nominalizer,derivation: secondary,metonymy: associated action,some speakers with i instead of yé
WATERMELON,"melon, watermelon",éshkwdemo,,,,,,,,,?,?,OPD says the MN form is from ashkandan 'eat it raw'; Potawatomi form probably influenced by FSK?
WEDNESDAY,,ayaptosak-gizhek,,,,,,,,,compounding: N+N,metonymy: associated feature (quantity),
WHEAT,,--,,,,,,,,,,,
whiskey,moonshine,shkwedéwabo,shkodé,fire,,,,,-abo,liquid,derivation: secondary,metonymy: associated attribute,
white people,,wabshkiwét,,,wabshk-,white,,,,,participle formation,metonymy: associated feature (color),"medial/final is not transparent to me; cf. Ojibwe -iiwag- 'flesh, meat, muscle'"
WINDOW,,waséchgen,*wasété,"it is/becomes light inside, bright inside",,,,,-egen,nominalizer,derivation: secondary,metonymy: associated sensation? (sight?),
"wine, grape juice",,zhomnabo,ziwnos,raisin,,,,,-abo,liquid,derivation: secondary,metonymy: associated attribute (artifact),
wrench,1. screwdriver 2. wrench,byémsko'gen,,,git-,"take off, remove",,,-egen,nominalizer,derivation: secondary,metonymy: associated action,
wringer (on a washing machine),,--,,,,,,,,,,,
